name,prov,lat,lon
北京市,北京市,39.9,116.4
天津市,天津市,39.13,117.2
上海市,上海市,31.23,121.47
重庆市,重庆市,29.56,106.55
石家庄市,河北省,38.04,114.51
唐山市,河北省,39.63,118.18
秦皇岛市,河北省,39.94,119.6
邯郸市,河北省,36.63,114.54
邢台市,河北省,37.07,114.5
保定市,河北省,38.87,115.46
张家口市,河北省,40.77,114.88
承德市,河北省,40.95,117.94
沧州市,河北省,38.3,116.84
廊坊市,河北省,39.52,116.68
衡水市,河北省,37.74,115.67
太原市,山西省,37.87,112.55
大同市,山西省,40.09,113.3
阳泉市,山西省,37.86,113.58
长治市,山西省,36.2,113.12
晋城市,山西省,35.49,112.85
朔州市,山西省,39.33,112.43
晋中市,山西省,37.69,112.75
运城市,山西省,35.03,111.0
忻州市,山西省,38.42,112.73
临汾市,山西省,36.08,111.52
吕梁市,山西省,37.52,111.14
呼和浩特市,内蒙古自治区,40.84,111.75
包头市,内蒙古自治区,40.66,109.84
乌海市,内蒙古自治区,39.65,106.79
赤峰市,内蒙古自治区,42.26,118.89
通辽市,内蒙古自治区,43.65,122.24
鄂尔多斯市,内蒙古自治区,39.61,109.78
呼伦贝尔市,内蒙古自治区,49.21,119.76
巴彦淖尔市,内蒙古自治区,40.74,107.39
乌兰察布市,内蒙古自治区,40.99,113.13
兴安盟,内蒙古自治区,46.08,122.07
锡林郭勒盟,内蒙古自治区,43.94,116.09
阿拉善盟,内蒙古自治区,38.84,105.68
沈阳市,辽宁省,41.8,123.43
大连市,辽宁省,38.91,121.61
鞍山市,辽宁省,41.11,122.99
抚顺市,辽宁省,41.88,123.96
本溪市,辽宁省,41.29,123.77
丹东市,辽宁省,40.13,124.38
锦州市,辽宁省,41.1,121.13
营口市,辽宁省,40.67,122.23
阜新市,辽宁省,42.02,121.63
辽阳市,辽宁省,41.27,123.24
盘锦市,辽宁省,41.12,122.07
铁岭市,辽宁省,42.22,123.84
朝阳市,辽宁省,41.57,120.45
葫芦岛市,辽宁省,40.71,120.84
长春市,吉林省,43.82,125.32
吉林市,吉林省,43.84,126.55
四平市,吉林省,43.17,124.35
辽源市,吉林省,42.89,125.14
通化市,吉林省,41.73,125.94
白山市,吉林省,41.94,126.42
松原市,吉林省,45.14,124.82
白城市,吉林省,45.62,122.84
延边朝鲜族自治州,吉林省,42.89,129.51
哈尔滨市,黑龙江省,45.8,126.53
齐齐哈尔市,黑龙江省,47.35,123.92
鸡西市,黑龙江省,45.3,130.97
鹤岗市,黑龙江省,47.35,130.27
双鸭山市,黑龙江省,46.65,131.16
大庆市,黑龙江省,46.59,125.1
伊春市,黑龙江省,47.73,128.84
佳木斯市,黑龙江省,46.8,130.32
七台河市,黑龙江省,45.77,131.0
牡丹江市,黑龙江省,44.55,129.63
黑河市,黑龙江省,50.24,127.53
绥化市,黑龙江省,46.65,126.97
大兴安岭地区,黑龙江省,51.92,124.57
南京市,江苏省,32.06,118.8
无锡市,江苏省,31.49,120.31
徐州市,江苏省,34.2,117.28
常州市,江苏省,31.81,119.97
苏州市,江苏省,31.3,120.58
南通市,江苏省,31.98,120.89
连云港市,江苏省,34.6,119.22
淮安市,江苏省,33.55,119.02
盐城市,江苏省,33.35,120.16
扬州市,江苏省,32.39,119.41
镇江市,江苏省,32.19,119.43
泰州市,江苏省,32.46,119.92
宿迁市,江苏省,33.96,118.28
杭州市,浙江省,30.27,120.16
宁波市,浙江省,29.87,121.54
温州市,浙江省,28.0,120.7
嘉兴市,浙江省,30.75,120.76
湖州市,浙江省,30.89,120.09
绍兴市,浙江省,30.03,120.58
金华市,浙江省,29.08,119.65
衢州市,浙江省,28.94,118.87
舟山市,浙江省,30.02,122.21
台州市,浙江省,28.66,121.42
丽水市,浙江省,28.45,119.92
合肥市,安徽省,31.82,117.23
芜湖市,安徽省,31.35,118.43
蚌埠市,安徽省,32.92,117.39
淮南市,安徽省,32.63,117.0
马鞍山市,安徽省,31.67,118.51
淮北市,安徽省,33.95,116.8
铜陵市,安徽省,30.94,117.81
安庆市,安徽省,30.53,117.06
黄山市,安徽省,29.71,118.34
滁州市,安徽省,32.3,118.32
阜阳市,安徽省,32.89,115.81
宿州市,安徽省,33.65,116.96
六安市,安徽省,31.73,116.52
亳州市,安徽省,33.85,115.78
池州市,安徽省,30.66,117.49
宣城市,安徽省,30.94,118.76
福州市,福建省,26.07,119.3
厦门市,福建省,24.48,118.09
莆田市,福建省,25.45,119.01
三明市,福建省,26.26,117.64
泉州市,福建省,24.87,118.68
漳州市,福建省,24.51,117.65
南平市,福建省,26.64,118.18
龙岩市,福建省,25.08,117.02
宁德市,福建省,26.67,119.55
南昌市,江西省,28.68,115.86
景德镇市,江西省,29.27,117.18
萍乡市,江西省,27.62,113.85
九江市,江西省,29.71,116.0
新余市,江西省,27.82,114.92
鹰潭市,江西省,28.26,117.07
赣州市,江西省,25.83,114.93
吉安市,江西省,27.11,114.99
宜春市,江西省,27.8,114.42
抚州市,江西省,27.98,116.36
上饶市,江西省,28.45,117.94
济南市,山东省,36.65,117.12
青岛市,山东省,36.07,120.38
淄博市,山东省,36.81,118.05
枣庄市,山东省,34.81,117.32
东营市,山东省,37.43,118.67
烟台市,山东省,37.46,121.45
潍坊市,山东省,36.71,119.16
济宁市,山东省,35.42,116.59
泰安市,山东省,36.2,117.09
威海市,山东省,37.51,122.12
日照市,山东省,35.42,119.53
临沂市,山东省,35.1,118.36
德州市,山东省,37.44,116.36
聊城市,山东省,36.46,115.99
